#twotheta, yobs, ycal, bkg, diff
9.000000e+000,1.000000e+001,9.551165e+000,9.551165e+000,4.488351e-001
9.020000e+000,7.000000e+000,9.541460e+000,9.541460e+000,-2.541460e+000
9.040000e+000,9.000000e+000,9.531844e+000,9.531844e+000,-5.318435e-001
9.060000e+000,1.000000e+001,9.522315e+000,9.522315e+000,4.776845e-001
9.080000e+000,1.000000e+001,9.512875e+000,9.512875e+000,4.871246e-001
9.100000e+000,6.000000e+000,9.503523e+000,9.503523e+000,-3.503523e+000
9.120000e+000,7.000000e+000,9.494258e+000,9.494258e+000,-2.494258e+000
9.140000e+000,1.000000e+001,9.485080e+000,9.485080e+000,5.149197e-001
9.160000e+000,9.000000e+000,9.475989e+000,9.475989e+000,-4.759892e-001
9.180000e+000,1.100000e+001,9.466984e+000,9.466984e+000,1.533016e+000
9.200000e+000,1.000000e+001,9.458066e+000,9.458066e+000,5.419341e-001
9.220000e+000,1.600000e+001,9.449233e+000,9.449233e+000,6.550767e+000
9.240000e+000,1.400000e+001,9.440486e+000,9.440486e+000,4.559514e+000
9.260000e+000,1.000000e+001,9.431824e+000,9.431824e+000,5.681764e-001
9.280000e+000,8.000000e+000,9.423246e+000,9.423246e+000,-1.423246e+000
9.300000e+000,1.100000e+001,9.414754e+000,9.414754e+000,1.585246e+000
9.320000e+000,1.000000e+001,9.406345e+000,9.406345e+000,5.936551e-001
9.340000e+000,1.200000e+001,9.398020e+000,9.398020e+000,2.601980e+000
9.360000e+000,8.000000e+000,9.389779e+000,9.389779e+000,-1.389779e+000
9.380000e+000,9.000000e+000,9.381621e+000,9.381621e+000,-3.816211e-001
9.400000e+000,9.000000e+000,9.373546e+000,9.373546e+000,-3.735461e-001
9.420000e+000,1.100000e+001,9.365554e+000,9.365554e+000,1.634446e+000
9.440000e+000,1.000000e+001,9.357644e+000,9.357644e+000,6.423564e-001
9.460000e+000,1.100000e+001,9.349815e+000,9.349815e+000,1.650185e+000
9.480000e+000,1.400000e+001,9.342069e+000,9.342069e+000,4.657931e+000
9.500000e+000,1.200000e+001,9.334404e+000,9.334404e+000,2.665596e+000
9.520000e+000,1.100000e+001,9.326820e+000,9.326820e+000,1.673180e+000
9.540000e+000,1.100000e+001,9.319316e+000,9.319316e+000,1.680684e+000
9.560000e+000,1.000000e+001,9.311893e+000,9.311893e+000,6.881068e-001
9.580000e+000,9.000000e+000,9.304550e+000,9.304550e+000,-3.045502e-001
9.600000e+000,1.000000e+001,9.297287e+000,9.297287e+000,7.027130e-001
9.620000e+000,1.200000e+001,9.290103e+000,9.290103e+000,2.709897e+000
9.640000e+000,1.400000e+001,9.282998e+000,9.282998e+000,4.717002e+000
9.660000e+000,8.000000e+000,9.275972e+000,9.275972e+000,-1.275972e+000
9.680000e+000,1.100000e+001,9.269025e+000,9.269025e+000,1.730975e+000
9.700000e+000,1.500000e+001,9.262156e+000,9.262156e+000,5.737844e+000
9.720000e+000,1.000000e+001,9.255364e+000,9.255364e+000,7.446359e-001
9.740000e+000,1.000000e+001,9.248650e+000,9.248650e+000,7.513499e-001
9.760000e+000,1.100000e+001,9.242013e+000,9.242013e+000,1.757987e+000
9.780000e+000,8.000000e+000,9.235453e+000,9.235453e+000,-1.235453e+000
9.800000e+000,8.000000e+000,9.228970e+000,9.228970e+000,-1.228970e+000
9.820000e+000,8.000000e+000,9.222563e+000,9.222563e+000,-1.222563e+000
9.840000e+000,7.000000e+000,9.216232e+000,9.216232e+000,-2.216232e+000
9.860000e+000,1.000000e+001,9.209976e+000,9.209976e+000,7.900240e-001
9.880000e+000,1.000000e+001,9.203796e+000,9.203796e+000,7.962043e-001
9.900000e+000,9.000000e+000,9.197690e+000,9.197690e+000,-1.976903e-001
9.920000e+000,9.000000e+000,9.191660e+000,9.191660e+000,-1.916596e-001
9.940000e+000,1.600000e+001,9.185703e+000,9.185703e+000,6.814297e+000
9.960000e+000,1.200000e+001,9.179821e+000,9.179821e+000,2.820179e+000
9.980000e+000,9.000000e+000,9.174012e+000,9.174012e+000,-1.740121e-001
1.000000e+001,9.000000e+000,9.168277e+000,9.168277e+000,-1.682767e-001
1.002000e+001,9.000000e+000,9.162614e+000,9.162614e+000,-1.626144e-001
1.004000e+001,1.000000e+001,9.157025e+000,9.157025e+000,8.429751e-001
1.006000e+001,1.100000e+001,9.151508e+000,9.151508e+000,1.848492e+000
1.008000e+001,8.000000e+000,9.146063e+000,9.146063e+000,-1.146063e+000
1.010000e+001,8.000000e+000,9.140689e+000,9.140689e+000,-1.140689e+000
1.012000e+001,1.200000e+001,9.135388e+000,9.135388e+000,2.864612e+000
1.014000e+001,1.000000e+001,9.130157e+000,9.130157e+000,8.698431e-001
1.016000e+001,9.000000e+000,9.124997e+000,9.124997e+000,-1.249971e-001
1.018000e+001,8.000000e+000,9.119908e+000,9.119908e+000,-1.119908e+000
1.020000e+001,9.000000e+000,9.114889e+000,9.114889e+000,-1.148886e-001
1.022000e+001,7.000000e+000,9.109939e+000,9.109939e+000,-2.109939e+000
1.024000e+001,9.000000e+000,9.105060e+000,9.105060e+000,-1.050595e-001
1.026000e+001,1.000000e+001,9.100249e+000,9.100249e+000,8.997510e-001
1.028000e+001,1.000000e+001,9.095507e+000,9.095507e+000,9.044926e-001
1.030000e+001,1.000000e+001,9.090834e+000,9.090834e+000,9.091656e-001
1.032000e+001,9.000000e+000,9.086230e+000,9.086230e+000,-8.622962e-002
1.034000e+001,7.000000e+000,9.081693e+000,9.081693e+000,-2.081693e+000
