#twotheta, yobs, ycal, bkg, diff
7.000000e+000,2.100000e+001,1.524144e+001,1.524144e+001,5.758563e+000
7.020000e+000,3.100000e+001,1.526126e+001,1.526126e+001,1.573874e+001
7.040000e+000,1.600000e+001,1.528106e+001,1.528106e+001,7.189448e-001
7.060000e+000,2.100000e+001,1.530082e+001,1.530082e+001,5.699182e+000
7.080000e+000,1.700000e+001,1.532055e+001,1.532055e+001,1.679451e+000
7.100000e+000,1.600000e+001,1.534025e+001,1.534025e+001,6.597508e-001
7.120000e+000,1.500000e+001,1.535992e+001,1.535992e+001,-3.599183e-001
7.140000e+000,2.100000e+001,1.537956e+001,1.537956e+001,5.620444e+000
7.160000e+000,2.000000e+001,1.539916e+001,1.539916e+001,4.600837e+000
7.180000e+000,2.100000e+001,1.541874e+001,1.541874e+001,5.581261e+000
7.200000e+000,2.400000e+001,1.543828e+001,1.543828e+001,8.561716e+000
7.220000e+000,2.300000e+001,1.545780e+001,1.545780e+001,7.542202e+000
7.240000e+000,1.400000e+001,1.547728e+001,1.547728e+001,-1.477281e+000
7.260000e+000,1.800000e+001,1.549673e+001,1.549673e+001,2.503268e+000
7.280000e+000,1.800000e+001,1.551615e+001,1.551615e+001,2.483847e+000
7.300000e+000,1.500000e+001,1.553554e+001,1.553554e+001,-5.355422e-001
7.320000e+000,1.500000e+001,1.555490e+001,1.555490e+001,-5.549006e-001
7.340000e+000,2.100000e+001,1.557423e+001,1.557423e+001,5.425772e+000
7.360000e+000,2.400000e+001,1.559352e+001,1.559352e+001,8.406476e+000
7.380000e+000,1.900000e+001,1.561279e+001,1.561279e+001,3.387211e+000
7.400000e+000,2.300000e+001,1.563202e+001,1.563202e+001,7.367977e+000
7.420000e+000,1.700000e+001,1.565123e+001,1.565123e+001,1.348774e+000
7.440000e+000,1.600000e+001,1.567040e+001,1.567040e+001,3.296019e-001
7.460000e+000,1.500000e+001,1.568954e+001,1.568954e+001,-6.895390e-001
7.480000e+000,1.700000e+001,1.570865e+001,1.570865e+001,1.291351e+000
7.500000e+000,1.700000e+001,1.572773e+001,1.572773e+001,1.272273e+000
7.520000e+000,2.200000e+001,1.574677e+001,1.574677e+001,6.253225e+000
7.540000e+000,2.400000e+001,1.576579e+001,1.576579e+001,8.234209e+000
7.560000e+000,1.900000e+001,1.578478e+001,1.578478e+001,3.215223e+000
7.580000e+000,2.100000e+001,1.580373e+001,1.580373e+001,5.196269e+000
7.600000e+000,2.200000e+001,1.582265e+001,1.582265e+001,6.177345e+000
7.620000e+000,1.500000e+001,1.584155e+001,1.584155e+001,-8.415467e-001
7.640000e+000,1.000000e+001,1.586041e+001,1.586041e+001,-5.860408e+000
7.660000e+000,1.700000e+001,1.587924e+001,1.587924e+001,1.120762e+000
7.680000e+000,1.700000e+001,1.589804e+001,1.589804e+001,1.101963e+000
7.700000e+000,2.000000e+001,1.591680e+001,1.591680e+001,4.083195e+000
7.720000e+000,1.900000e+001,1.593554e+001,1.593554e+001,3.064458e+000
7.740000e+000,2.100000e+001,1.595425e+001,1.595425e+001,5.045753e+000
7.760000e+000,1.700000e+001,1.597292e+001,1.597292e+001,1.027078e+000
7.780000e+000,1.500000e+001,1.599157e+001,1.599157e+001,-9.915655e-001
7.800000e+000,1.900000e+001,1.601018e+001,1.601018e+001,2.989822e+000
7.820000e+000,1.700000e+001,1.602876e+001,1.602876e+001,9.712406e-001
7.840000e+000,2.000000e+001,1.604731e+001,1.604731e+001,3.952690e+000
7.860000e+000,1.900000e+001,1.606583e+001,1.606583e+001,2.934171e+000
7.880000e+000,1.500000e+001,1.608432e+001,1.608432e+001,-1.084317e+000
7.900000e+000,1.900000e+001,1.610277e+001,1.610277e+001,2.897226e+000
7.920000e+000,1.500000e+001,1.612120e+001,1.612120e+001,-1.121200e+000
7.940000e+000,1.700000e+001,1.613960e+001,1.613960e+001,8.604048e-001
7.960000e+000,1.900000e+001,1.615796e+001,1.615796e+001,2.842041e+000
7.980000e+000,1.600000e+001,1.617629e+001,1.617629e+001,-1.762918e-001
8.000000e+000,1.500000e+001,1.619459e+001,1.619459e+001,-1.194594e+000
8.020000e+000,2.300000e+001,1.621286e+001,1.621286e+001,6.787136e+000
8.040000e+000,2.100000e+001,1.623110e+001,1.623110e+001,4.768896e+000
8.060000e+000,1.700000e+001,1.624931e+001,1.624931e+001,7.506878e-001
8.080000e+000,1.900000e+001,1.626749e+001,1.626749e+001,2.732510e+000
8.100000e+000,2.000000e+001,1.628564e+001,1.628564e+001,3.714364e+000
8.120000e+000,1.500000e+001,1.630375e+001,1.630375e+001,-1.303751e+000
8.140000e+000,2.100000e+001,1.632184e+001,1.632184e+001,4.678165e+000
8.160000e+000,1.800000e+001,1.633989e+001,1.633989e+001,1.660112e+000
8.180000e+000,1.800000e+001,1.635791e+001,1.635791e+001,1.642090e+000
8.200000e+000,1.500000e+001,1.637590e+001,1.637590e+001,-1.375901e+000
8.220000e+000,1.600000e+001,1.639386e+001,1.639386e+001,-3.938611e-001
8.240000e+000,2.000000e+001,1.641179e+001,1.641179e+001,3.588210e+000
8.260000e+000,1.600000e+001,1.642969e+001,1.642969e+001,-4.296876e-001
8.280000e+000,2.500000e+001,1.644755e+001,1.644755e+001,8.552446e+000
8.300000e+000,2.100000e+001,1.646539e+001,1.646539e+001,4.534610e+000
8.320000e+000,1.800000e+001,1.648319e+001,1.648319e+001,1.516806e+000
8.340000e+000,1.600000e+001,1.650097e+001,1.650097e+001,-5.009676e-001
8.360000e+000,1.400000e+001,1.651871e+001,1.651871e+001,-2.518710e+000
8.380000e+000,1.800000e+001,1.653642e+001,1.653642e+001,1.463579e+000
8.400000e+000,1.900000e+001,1.655410e+001,1.655410e+001,2.445899e+000
8.420000e+000,2.000000e+001,1.657175e+001,1.657175e+001,3.428250e+000
8.440000e+000,1.800000e+001,1.658937e+001,1.658937e+001,1.410632e+000
8.460000e+000,1.400000e+001,1.660696e+001,1.660696e+001,-2.606955e+000
8.480000e+000,1.700000e+001,1.662451e+001,1.662451e+001,3.754890e-001
8.500000e+000,1.900000e+001,1.664204e+001,1.664204e+001,2.357964e+000
8.520000e+000,2.100000e+001,1.665953e+001,1.665953e+001,4.340471e+000
8.540000e+000,1.700000e+001,1.667699e+001,1.667699e+001,3.230080e-001
8.560000e+000,1.400000e+001,1.669442e+001,1.669442e+001,-2.694424e+000
8.580000e+000,2.200000e+001,1.671182e+001,1.671182e+001,5.288176e+000
8.600000e+000,1.200000e+001,1.672919e+001,1.672919e+001,-4.729193e+000
8.620000e+000,1.300000e+001,1.674653e+001,1.674653e+001,-3.746532e+000
8.640000e+000,1.300000e+001,1.676384e+001,1.676384e+001,-3.763839e+000
8.660000e+000,1.900000e+001,1.678111e+001,1.678111e+001,2.218885e+000
8.680000e+000,1.900000e+001,1.679836e+001,1.679836e+001,2.201640e+000
8.700000e+000,1.100000e+001,1.681557e+001,1.681557e+001,-5.815574e+000
8.720000e+000,9.000000e+000,1.683276e+001,1.683276e+001,-7.832757e+000
8.740000e+000,1.400000e+001,1.684991e+001,1.684991e+001,-2.849909e+000
8.760000e+000,1.700000e+001,1.686703e+001,1.686703e+001,1.329707e-001
8.780000e+000,2.200000e+001,1.688412e+001,1.688412e+001,5.115881e+000
8.800000e+000,2.100000e+001,1.690118e+001,1.690118e+001,4.098822e+000
8.820000e+000,1.600000e+001,1.691821e+001,1.691821e+001,-9.182051e-001
8.840000e+000,1.300000e+001,1.693520e+001,1.693520e+001,-3.935201e+000
8.860000e+000,1.100000e+001,1.695217e+001,1.695217e+001,-5.952167e+000
8.880000e+000,1.100000e+001,1.696910e+001,1.696910e+001,-5.969101e+000
8.900000e+000,1.500000e+001,1.698600e+001,1.698600e+001,-1.986004e+000
8.920000e+000,1.800000e+001,1.700288e+001,1.700288e+001,9.971236e-001
8.940000e+000,2.300000e+001,1.701972e+001,1.701972e+001,5.980283e+000
8.960000e+000,1.600000e+001,1.703653e+001,1.703653e+001,-1.036527e+000
8.980000e+000,2.500000e+001,1.705331e+001,1.705331e+001,7.946694e+000
9.000000e+000,2.700000e+001,1.707005e+001,1.707005e+001,9.929946e+000
9.020000e+000,1.500000e+001,1.708677e+001,1.708677e+001,-2.086771e+000
9.040000e+000,1.500000e+001,1.710346e+001,1.710346e+001,-2.103456e+000
9.060000e+000,1.500000e+001,1.712011e+001,1.712011e+001,-2.120111e+000
9.080000e+000,2.100000e+001,1.713673e+001,1.713673e+001,3.863266e+000
9.100000e+000,1.200000e+001,1.715333e+001,1.715333e+001,-5.153327e+000
9.120000e+000,1.400000e+001,1.716989e+001,1.716989e+001,-3.169888e+000
9.140000e+000,1.300000e+001,1.718642e+001,1.718642e+001,-4.186418e+000
9.160000e+000,1.400000e+001,1.720292e+001,1.720292e+001,-3.202918e+000
9.180000e+000,1.300000e+001,1.721939e+001,1.721939e+001,-4.219386e+000
9.200000e+000,1.400000e+001,1.723582e+001,1.723582e+001,-3.235823e+000
9.220000e+000,1.500000e+001,1.725223e+001,1.725223e+001,-2.252229e+000
