#twotheta, yobs, ycal, bkg, diff
9.000000e+000,3.700000e+001,3.756609e+001,3.141909e+001,-5.660900e-001
9.020000e+000,3.700000e+001,3.736628e+001,3.118810e+001,-3.662813e-001
9.040000e+000,3.800000e+001,3.717209e+001,3.096247e+001,8.279125e-001
9.060000e+000,2.900000e+001,3.698349e+001,3.074217e+001,-7.983485e+000
9.080000e+000,3.500000e+001,3.680045e+001,3.052718e+001,-1.800452e+000
9.100000e+000,4.000000e+001,3.662296e+001,3.031747e+001,3.377036e+000
9.120000e+000,3.900000e+001,3.645100e+001,3.011302e+001,2.549000e+000
9.140000e+000,4.200000e+001,3.628453e+001,2.991379e+001,5.715466e+000
9.160000e+000,3.800000e+001,3.612355e+001,2.971977e+001,1.876454e+000
9.180000e+000,3.200000e+001,3.596801e+001,2.953092e+001,-3.968013e+000
9.200000e+000,3.500000e+001,3.581791e+001,2.934722e+001,-8.179106e-001
9.220000e+000,4.100000e+001,3.567322e+001,2.916865e+001,5.326783e+000
9.240000e+000,3.500000e+001,3.553391e+001,2.899517e+001,-5.339107e-001
9.260000e+000,3.600000e+001,3.539997e+001,2.882677e+001,6.000321e-001
9.280000e+000,3.600000e+001,3.527137e+001,2.866341e+001,7.286334e-001
9.300000e+000,3.500000e+001,3.514808e+001,2.850507e+001,-1.480845e-001
9.320000e+000,4.000000e+001,3.503010e+001,2.835172e+001,4.969901e+000
9.340000e+000,3.000000e+001,3.491739e+001,2.820333e+001,-4.917389e+000
9.360000e+000,2.100000e+001,3.480993e+001,2.805989e+001,-1.380993e+001
9.380000e+000,3.000000e+001,3.470770e+001,2.792135e+001,-4.707704e+000
9.400000e+000,2.800000e+001,3.461069e+001,2.778771e+001,-6.610686e+000
9.420000e+000,3.100000e+001,3.451885e+001,2.765893e+001,-3.518854e+000
9.440000e+000,3.100000e+001,3.443219e+001,2.753498e+001,-3.432188e+000
9.460000e+000,3.200000e+001,3.435066e+001,2.741583e+001,-2.350665e+000
9.480000e+000,3.400000e+001,3.427426e+001,2.730147e+001,-2.742633e-001
9.500000e+000,4.000000e+001,3.420296e+001,2.719187e+001,5.797038e+000
9.520000e+000,4.000000e+001,3.413674e+001,2.708700e+001,5.863259e+000
9.540000e+000,3.500000e+001,3.407558e+001,2.698682e+001,9.244236e-001
9.560000e+000,3.800000e+001,3.401945e+001,2.689133e+001,3.980551e+000
9.580000e+000,3.500000e+001,3.396834e+001,2.680048e+001,1.031663e+000
9.600000e+000,3.400000e+001,3.392222e+001,2.671426e+001,7.778127e-002
9.620000e+000,3.600000e+001,3.388107e+001,2.663264e+001,2.118925e+000
9.640000e+000,3.300000e+001,3.384488e+001,2.655559e+001,-8.448832e-001
9.660000e+000,4.600000e+001,3.381362e+001,2.648308e+001,1.218638e+001
9.680000e+000,3.800000e+001,3.378728e+001,2.641509e+001,4.212723e+000
9.700000e+000,2.800000e+001,3.376582e+001,2.635160e+001,-5.765820e+000
