#twotheta, yobs, ycal, bkg, diff
9.000000e+000,1.600000e+001,1.757843e+001,1.757843e+001,-1.578433e+000
9.020000e+000,1.700000e+001,1.759742e+001,1.759742e+001,-5.974187e-001
9.040000e+000,2.200000e+001,1.761637e+001,1.761637e+001,4.383626e+000
9.060000e+000,1.900000e+001,1.763530e+001,1.763530e+001,1.364702e+000
9.080000e+000,1.900000e+001,1.765419e+001,1.765419e+001,1.345808e+000
9.100000e+000,1.700000e+001,1.767305e+001,1.767305e+001,-6.730546e-001
9.120000e+000,2.000000e+001,1.769189e+001,1.769189e+001,2.308113e+000
9.140000e+000,2.000000e+001,1.771069e+001,1.771069e+001,2.289312e+000
9.160000e+000,3.100000e+001,1.772946e+001,1.772946e+001,1.327054e+001
9.180000e+000,2.600000e+001,1.774820e+001,1.774820e+001,8.251802e+000
9.200000e+000,2.900000e+001,1.776691e+001,1.776691e+001,1.123309e+001
9.220000e+000,1.900000e+001,1.778559e+001,1.778559e+001,1.214414e+000
9.240000e+000,1.700000e+001,1.780423e+001,1.780423e+001,-8.042336e-001
9.260000e+000,1.900000e+001,1.782285e+001,1.782285e+001,1.177149e+000
9.280000e+000,2.100000e+001,1.784144e+001,1.784144e+001,3.158563e+000
9.300000e+000,2.200000e+001,1.785999e+001,1.785999e+001,4.140007e+000
9.320000e+000,1.700000e+001,1.787852e+001,1.787852e+001,-8.785184e-001
9.340000e+000,1.500000e+001,1.789701e+001,1.789701e+001,-2.897013e+000
9.360000e+000,1.700000e+001,1.791548e+001,1.791548e+001,-9.154773e-001
9.380000e+000,2.000000e+001,1.793391e+001,1.793391e+001,2.066089e+000
9.400000e+000,2.600000e+001,1.795231e+001,1.795231e+001,8.047686e+000
9.420000e+000,2.000000e+001,1.797069e+001,1.797069e+001,2.029313e+000
9.440000e+000,1.500000e+001,1.798903e+001,1.798903e+001,-2.989029e+000
9.460000e+000,2.400000e+001,1.800734e+001,1.800734e+001,5.992660e+000
9.480000e+000,2.200000e+001,1.802562e+001,1.802562e+001,3.974378e+000
9.500000e+000,1.600000e+001,1.804387e+001,1.804387e+001,-2.043872e+000
9.520000e+000,1.600000e+001,1.806209e+001,1.806209e+001,-2.062093e+000
9.540000e+000,1.600000e+001,1.808028e+001,1.808028e+001,-2.080282e+000
9.560000e+000,1.500000e+001,1.809844e+001,1.809844e+001,-3.098442e+000
9.580000e+000,1.500000e+001,1.811657e+001,1.811657e+001,-3.116571e+000
9.600000e+000,1.600000e+001,1.813467e+001,1.813467e+001,-2.134670e+000
9.620000e+000,1.800000e+001,1.815274e+001,1.815274e+001,-1.527384e-001
9.640000e+000,1.600000e+001,1.817078e+001,1.817078e+001,-2.170777e+000
9.660000e+000,2.200000e+001,1.818878e+001,1.818878e+001,3.811216e+000
9.680000e+000,2.000000e+001,1.820676e+001,1.820676e+001,1.793238e+000
9.700000e+000,1.900000e+001,1.822471e+001,1.822471e+001,7.752907e-001
9.720000e+000,1.600000e+001,1.824263e+001,1.824263e+001,-2.242626e+000
9.740000e+000,1.200000e+001,1.826051e+001,1.826051e+001,-6.260513e+000
9.760000e+000,1.700000e+001,1.827837e+001,1.827837e+001,-1.278370e+000
9.780000e+000,2.000000e+001,1.829620e+001,1.829620e+001,1.703804e+000
9.800000e+000,1.500000e+001,1.831399e+001,1.831399e+001,-3.313992e+000
9.820000e+000,2.200000e+001,1.833176e+001,1.833176e+001,3.668242e+000
9.840000e+000,1.900000e+001,1.834949e+001,1.834949e+001,6.505056e-001
9.860000e+000,2.100000e+001,1.836720e+001,1.836720e+001,2.632800e+000
9.880000e+000,2.000000e+001,1.838488e+001,1.838488e+001,1.615124e+000
9.900000e+000,1.800000e+001,1.840252e+001,1.840252e+001,-4.025215e-001
9.920000e+000,2.000000e+001,1.842014e+001,1.842014e+001,1.579863e+000
9.940000e+000,1.500000e+001,1.843772e+001,1.843772e+001,-3.437722e+000
9.960000e+000,1.700000e+001,1.845528e+001,1.845528e+001,-1.455278e+000
9.980000e+000,1.800000e+001,1.847280e+001,1.847280e+001,-4.728033e-001
1.000000e+001,1.900000e+001,1.849030e+001,1.849030e+001,5.097013e-001
1.002000e+001,2.300000e+001,1.850776e+001,1.850776e+001,4.492236e+000
1.004000e+001,2.300000e+001,1.852520e+001,1.852520e+001,4.474800e+000
1.006000e+001,1.200000e+001,1.854261e+001,1.854261e+001,-6.542605e+000
1.008000e+001,9.000000e+000,1.855998e+001,1.855998e+001,-9.559981e+000
1.010000e+001,2.200000e+001,1.857733e+001,1.857733e+001,3.422674e+000
1.012000e+001,1.600000e+001,1.859464e+001,1.859464e+001,-2.594642e+000
1.014000e+001,1.600000e+001,1.861193e+001,1.861193e+001,-2.611928e+000
1.016000e+001,1.600000e+001,1.862918e+001,1.862918e+001,-2.629184e+000
1.018000e+001,1.600000e+001,1.864641e+001,1.864641e+001,-2.646410e+000
1.020000e+001,1.800000e+001,1.866361e+001,1.866361e+001,-6.636061e-001
1.022000e+001,2.500000e+001,1.868077e+001,1.868077e+001,6.319227e+000
1.024000e+001,2.000000e+001,1.869791e+001,1.869791e+001,1.302091e+000
1.026000e+001,1.700000e+001,1.871502e+001,1.871502e+001,-1.715016e+000
1.028000e+001,1.800000e+001,1.873209e+001,1.873209e+001,-7.320932e-001
1.030000e+001,1.500000e+001,1.874914e+001,1.874914e+001,-3.749141e+000
1.032000e+001,1.200000e+001,1.876616e+001,1.876616e+001,-6.766158e+000
1.034000e+001,1.300000e+001,1.878315e+001,1.878315e+001,-5.783146e+000
1.036000e+001,2.100000e+001,1.880010e+001,1.880010e+001,2.199896e+000
1.038000e+001,2.500000e+001,1.881703e+001,1.881703e+001,6.182967e+000
1.040000e+001,2.600000e+001,1.883393e+001,1.883393e+001,7.166068e+000
1.042000e+001,2.400000e+001,1.885080e+001,1.885080e+001,5.149199e+000
1.044000e+001,2.200000e+001,1.886764e+001,1.886764e+001,3.132359e+000
1.046000e+001,1.600000e+001,1.888445e+001,1.888445e+001,-2.884451e+000
1.048000e+001,1.500000e+001,1.890123e+001,1.890123e+001,-3.901231e+000
1.050000e+001,1.600000e+001,1.891798e+001,1.891798e+001,-2.917982e+000
1.052000e+001,1.900000e+001,1.893470e+001,1.893470e+001,6.529662e-002
1.054000e+001,1.800000e+001,1.895140e+001,1.895140e+001,-9.513951e-001
1.056000e+001,1.600000e+001,1.896806e+001,1.896806e+001,-2.968057e+000
1.058000e+001,1.600000e+001,1.898469e+001,1.898469e+001,-2.984690e+000
1.060000e+001,2.200000e+001,1.900129e+001,1.900129e+001,2.998707e+000
1.062000e+001,2.300000e+001,1.901787e+001,1.901787e+001,3.982133e+000
1.064000e+001,2.100000e+001,1.903441e+001,1.903441e+001,1.965589e+000
1.066000e+001,2.100000e+001,1.905093e+001,1.905093e+001,1.949074e+000
1.068000e+001,2.100000e+001,1.906741e+001,1.906741e+001,1.932588e+000
1.070000e+001,2.100000e+001,1.908387e+001,1.908387e+001,1.916132e+000
1.072000e+001,1.800000e+001,1.910029e+001,1.910029e+001,-1.100295e+000
1.074000e+001,1.700000e+001,1.911669e+001,1.911669e+001,-2.116692e+000
1.076000e+001,1.400000e+001,1.913306e+001,1.913306e+001,-5.133060e+000
1.078000e+001,2.200000e+001,1.914940e+001,1.914940e+001,2.850602e+000
1.080000e+001,1.700000e+001,1.916571e+001,1.916571e+001,-2.165708e+000
1.082000e+001,2.300000e+001,1.918199e+001,1.918199e+001,3.818012e+000
1.084000e+001,1.700000e+001,1.919824e+001,1.919824e+001,-2.198239e+000
1.086000e+001,1.800000e+001,1.921446e+001,1.921446e+001,-1.214460e+000
1.088000e+001,1.200000e+001,1.923065e+001,1.923065e+001,-7.230652e+000
1.090000e+001,1.700000e+001,1.924682e+001,1.924682e+001,-2.246815e+000
1.092000e+001,1.900000e+001,1.926295e+001,1.926295e+001,-2.629490e-001
1.094000e+001,1.900000e+001,1.927905e+001,1.927905e+001,-2.790536e-001
1.096000e+001,2.000000e+001,1.929513e+001,1.929513e+001,7.048710e-001
1.098000e+001,2.000000e+001,1.931118e+001,1.931118e+001,6.888247e-001
1.100000e+001,2.100000e+001,1.932719e+001,1.932719e+001,1.672808e+000
1.102000e+001,2.400000e+001,1.934318e+001,1.934318e+001,4.656820e+000
1.104000e+001,1.900000e+001,1.935914e+001,1.935914e+001,-3.591393e-001
1.106000e+001,2.200000e+001,1.937507e+001,1.937507e+001,2.624931e+000
1.108000e+001,1.800000e+001,1.939097e+001,1.939097e+001,-1.390970e+000
1.110000e+001,1.500000e+001,1.940684e+001,1.940684e+001,-4.406841e+000
1.112000e+001,1.700000e+001,1.942268e+001,1.942268e+001,-2.422684e+000
