VSC   ISC    theta luz_dir luz_amb
 5.19      13.01     0      1      2
 5.19      12.97     5      1      2
 5.19      12.85     10      1      2
 5.19      12.66     15      1      2
 5.19      12.40     20      1      2
 5.19      12.08     25      1      2
 5.19      11.69     30      1      2
 5.19      11.25     35      1      2
 5.19      10.77     40      1      2
 5.19      10.25     45      1      2
 5.19      9.72      50      1      2
 5.19      9.16      55      1      2
 5.19      8.61      60      1      2
 5.19      8.08      65      1      2
 5.19      7.57      70      1      2
 5.19      7.11      75      1      2
 5.19      6.70      80      1      2
 5.19      6.38      85      1      2
 5.19      6.20      90      1      2
 5.19      3.76      90      1      1
 5.19      3.95      85      1      1
 5.19      4.27      80      1      1
 5.19      4.68      75      1      1
 5.19      5.16      70      1      1
 5.19      5.68      65      1      1
 5.19      6.23      60      1      1
 5.19      6.79      55      1      1
 5.19      7.35      50      1      1
 5.19      7.90      45      1      1
 5.19      8.42      40      1      1
 5.19      8.91      35      1      1
 5.19      9.36      30      1      1
 5.19      9.75      25      1      1
 5.19      10.08     20      1      1
 5.19      10.34     15      1      1
 5.19      10.53     10      1      1
 5.19      10.65     5      1      1
 5.19      10.69     0      1      1
 5.19      7.28      0      1      0
 5.19      7.24      5      1      0
 5.19      7.12      10      1      0
 5.19      6.93      15      1      0
 5.19      6.66      20      1      0
 5.19      6.32      25      1      0
 5.19      5.92      30      1      0
 5.19      5.46      35      1      0
 5.19      4.96      40      1      0
 5.19      4.42      45      1      0
 5.19      3.85      50      1      0
 5.19      3.27      55      1      0
 5.19      2.68      60      1      0
 5.19      2.11      65      1      0
 5.19      1.55      70      1      0
 5.19      1.04      75      1      0
 5.19      0.59      80      1      0
 5.19      0.22      85      1      0
 5.19      0.00      90      1      0
